year,importer_name,export_value,exporter_name,import_value
2020,Belize,358260526.0,Belize,70975149.0
2020,Benin,222032308.0,Benin,13686642.0
2020,Bermuda,424071694.0,Bermuda,20309856.0
2020,Bhutan,2791777.0,Bhutan,396726.0
2020,Bolivia,547632686.0,Bolivia,330442363.0
2020,Bosnia and Herzegovina,232751801.0,Bosnia and Herzegovina,84231958.0
2020,Botswana,44275769.0,Botswana,177243657.0
2020,Brazil,29616712857.0,Brazil,21688530069.0
2020,British Indian Ocean Territory,6521073.0,British Indian Ocean Territory,161927.0
2020,British Virgin Islands,176025525.0,British Virgin Islands,4416575.0
2020,Brunei,233237055.0,Brunei,77825212.0
2020,Bulgaria,449492853.0,Bulgaria,846504062.0
2020,Burkina Faso,224705465.0,Burkina Faso,9604937.0
2020,Burma,394039021.0,Burma,1172147953.0
2020,Burundi,13562796.0,Burundi,4546828.0
2020,Cambodia,404221343.0,Cambodia,6973364859.0
2020,Cameroon,252037980.0,Cameroon,324857859.0
2020,Canada,219925896896.0,Canada,264324559226.0
2020,Cape Verde,37242656.0,Cape Verde,5015897.0
2020,Cayman Islands,658314022.0,Cayman Islands,15524156.0
2020,Central African Republic,20781164.0,Central African Republic,920973.0
2020,Chad,43905582.0,Chad,3526156.0
2020,Chile,10801231464.0,Chile,9937339127.0
2020,China,123191732784.0,China,439039014609.0
2020,Chinese Taipei,29404388251.0,Chinese Taipei,58351979615.0
2020,Christmas Island,1870855.0,Christmas Island,451597.0
2020,Cocos (Keeling) Islands,113950.0,Cocos (Keeling) Islands,1584234.0
2020,Colombia,11005256793.0,Colombia,9636971830.0
2020,Comoros,1428259.0,Comoros,3433493.0
2020,Cook Islands,2707705.0,Cook Islands,2447192.0
2020,Costa Rica,5393462678.0,Costa Rica,5222395523.0
2020,Cote d\'Ivoire,346093756.0,Cote d\'Ivoire,952523913.0
2020,Croatia,332367192.0,Croatia,615630850.0
2020,Cuba,172059133.0,Cuba,4906222.0
2020,Curaçao,298192880.0,Curaçao,20236445.0
2020,Cyprus,92603442.0,Cyprus,72001988.0
2020,Czechia,3588246090.0,Czechia,4820214686.0
2020,Democratic Republic of the Congo,145205385.0,Democratic Republic of the Congo,29457776.0
