,Group,Sampled Products,url
174,Weapons,Explosive Devices,https://upload.wikimedia.org/wikipedia/commons/1/11/Lebanon_pager_explosions_2024_%28images_by_Mehr_News%29_01.jpg
175,Weapons,Body Armor,https://upload.wikimedia.org/wikipedia/commons/9/9e/IMTV_front_cropped.png
176,Weapons,Rifles,https://upload.wikimedia.org/wikipedia/commons/5/57/Assam_Rifles_LOGO.svg
186,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Sofa,https://upload.wikimedia.org/wikipedia/commons/c/c2/2009-05-16_Main_office_lobby_at_Hampton_Forest_Apartments.jpg
179,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Table,https://upload.wikimedia.org/wikipedia/commons/e/ed/Writing_table_%28bureau_plat%29_MET_DP105403.jpg
181,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Worked Ivory and Bone,https://upload.wikimedia.org/wikipedia/commons/0/08/Horn_Louvre_OA4069.jpg
182,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Mattresses,https://upload.wikimedia.org/wikipedia/commons/b/bb/Shifman_Mattress_Set.JPG
185,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Travel Kits,https://upload.wikimedia.org/wikipedia/commons/9/98/Mains_plug_travel_adaptor.jpg
177,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Fairground Amusements,https://upload.wikimedia.org/wikipedia/commons/e/e4/Matejska-Pout.JPG
178,"Miscellaneous (e.g. Furnitures, Art, Toys, etc)",Zippers,https://upload.wikimedia.org/wikipedia/commons/0/09/Coiledcoil-wheelcartoon.png
190,Art and Antiques,Prints,https://upload.wikimedia.org/wikipedia/commons/f/f9/Cheval_Cauchois_-_Théodore_Géricault%2C_1822.jpg
191,Art and Antiques,Paintings,https://upload.wikimedia.org/wikipedia/commons/f/fb/Quinta_del_Sordo_1900.jpg
192,Art and Antiques,Sculptures,https://upload.wikimedia.org/wikipedia/commons/e/e4/Statue_of_a_Victorious_Youth%2C_front_-_Getty_Museum_%2877.AB.30%29.jpg
187,Art and Antiques,Antiques,https://upload.wikimedia.org/wikipedia/commons/c/c2/Vase_of_Longevity_%28Kalasha%29_with_Buddha_Amitabha%2C_Nepal%2C_17th_century.jpg
189,Art and Antiques,Collectors Items,https://upload.wikimedia.org/wikipedia/commons/2/2f/OPA%27s_cigarette_case-inside.jpg
188,Art and Antiques,Revenue Stamps,https://upload.wikimedia.org/wikipedia/commons/3/37/Emblem_of_Andhra_Pradesh.svg
